studio,polish title,release year,duration (mi),director,screenplay,genre,country,universe,boxoffice (USD),budget (USD),original title,distribution
['Castle Rock Entertainment'],Skazani na Shawshank,1994,142,['Frank Darabont'],['Frank Darabont'],['Drama'],['USA'],['Stephen King'],28884504,25000000,The Shawshank Redemption,
"['Canal+ France', 'Chaocorp', 'CinéCinéma']",Nietykalni,2011,112,"['Olivier Nakache', 'Éric Toledano']","['Olivier Nakache', 'Éric Toledano']","['Biography', 'Drama', 'Comedy']",['France'],,426588510,10800000,Intouchables,Gutek Film
"['Castle Rock Entertainment', 'Darkwoods Productions', 'Warner Bros.']",Zielona mila,1999,188,['Frank Darabont'],['Frank Darabont'],['Drama'],['USA'],['Stephen King'],286801374,60000000,The Green Mile,
"['Paramount Pictures', 'Alfran Productions']",Ojciec chrzestny,1972,175,['Francis Ford Coppola'],"['Mario Puzo', 'Francis Ford Coppola']","['Drama', 'Crime']",['USA'],,250341816,6000000,The Godfather,
['Orion-Nova Productions'],Dwunastu gniewnych ludzi,1957,96,['Sidney Lumet'],['Reginald Rose'],['Drama'],['USA'],,,337000,12 Angry Men,
['Paramount Pictures'],Forrest Gump,1994,142,['Robert Zemeckis'],['Eric Roth'],"['Drama', 'Comedy']",['USA'],,678226465,55000000,Forrest Gump,
['Fantasy Films'],Lot nad kukułczym gniazdem,1975,133,['Miloš Forman'],"['Bo Goldman', 'Lawrence Hauben']","['Drama', 'Psychological']",['USA'],,109114817,3000000,One Flew Over the Cuckoo's Nest,
"['Paramount Pictures', 'The Coppola Company']",Ojciec chrzestny II,1974,200,['Francis Ford Coppola'],"['Mario Puzo', 'Francis Ford Coppola']","['Drama', 'Crime']",['USA'],,193000000,13000000,The Godfather: Part II,
"['New Line Cinema', 'The Saul Zaentz Company', 'WingNut Films']",Władca Pierścieni: Powrót króla,2003,201,['Peter Jackson'],"['Fran Walsh', 'Peter Jackson']","['Fantasy', 'Adventure']","['New Zealand', 'USA']",['Władca Pierścieni'],1146436214,94000000,The Lord of the Rings: The Return of the King,Warner Bros Records
"['Universal Pictures', 'Amblin Entertainment']",Lista Schindlera,1993,195,['Steven Spielberg'],['Steven Zaillian'],"['Drama', 'War']",['USA'],,322161245,22000000,Schindler's List,
"['Miramax Films', 'A Band Apart', 'Jersey Films']",Pulp Fiction,1994,154,['Quentin Tarantino'],['Quentin Tarantino'],['Crime'],['USA'],,213928762,8000000,Pulp Fiction,Imperial
"['Cecchi Gori Group Tiger Cinematografica', 'Cecchi Gori Pictures', 'Melampo Cinematografica']",Życie jest piękne,1997,116,['Roberto Benigni'],"['Roberto Benigni', 'Vincenzo Cerami']","['Drama', 'Comedy', 'War']",['Italy'],,230098753,20000000,La vita è bella,
"['Cecchi Gori Pictures', 'Juno Pix', 'New Line Cinema']",Siedem,1995,127,['David Fincher'],['Andrew Kevin Walker'],"['Crime', 'Thriller']",['USA'],,327333559,33000000,Se7en,IMP
"['New Line Cinema', 'The Saul Zaentz Company', 'WingNut Films']",Władca Pierścieni: Dwie wieże,2002,179,['Peter Jackson'],"['Peter Jackson', 'Fran Walsh']","['Fantasy', 'Adventure']","['New Zealand', 'USA']",['Władca Pierścieni'],947939315,94000000,The Lord of the Rings: The Two Towers,
"['Fox 2000 Pictures', 'Regency Enterprises', 'Atman Entertainment']",Podziemny krąg,1999,139,['David Fincher'],['Jim Uhls'],"['Thriller', 'Psychological']","['USA', 'Germany']",,101209702,63000000,Fight Club,
['Warner Bros.'],Chłopcy z ferajny,1990,146,['Martin Scorsese'],"['Martin Scorsese', 'Nicholas Pileggi']","['Drama', 'Crime']",['USA'],,47036784,25000000,Goodfellas,
"['A Joint Effort Productions', 'Bron Studios', 'DC Comics']",Joker,2019,122,['Todd Phillips'],"['Todd Phillips', 'Scott Silver']","['Drama', 'Crime', 'Psychological']","['USA', 'Canada']",['DC'],1074458282,55000000,Joker,Warner Bros. Entertainment Polska Sp. z o. o.
"['Agencja Produkcji Filmowej', 'Bac Films', 'Beverly Detroit']",Pianista,2002,150,['Roman Polański'],['Ronald Harwood'],"['Biography', 'Drama', 'War']","['France', 'Poland', 'Great Britain', 'Germany']",,120072577,35000000,The Pianist,Syrena EG
"['DreamWorks SKG', 'Imagine Entertainment', 'Universal Pictures']",Piękny umysł,2001,135,['Ron Howard'],['Akiva Goldsman'],"['Biography', 'Drama']",['USA'],,316791257,58000000,A Beautiful Mind,United International Pictures Sp z o.o.
"['Warner Bros.', 'Legendary Pictures', 'Syncopy']",Incepcja,2010,148,['Christopher Nolan'],['Christopher Nolan'],"['Surreal', 'Thriller', 'Sci-fi']","['USA', 'Great Britain']",,836848102,160000000,Inception,Warner Bros. Entertainment Polska Sp. z o. o.
"['Columbia Pictures', 'Weinstein Company, The']",Django,2012,165,['Quentin Tarantino'],['Quentin Tarantino'],['Western'],['USA'],,426074373,100000000,Django Unchained,United International Pictures Sp z o.o.
"['Orion Pictures Corporation', 'Strong Heart/Demme Production']",Milczenie owiec,1991,118,['Jonathan Demme'],['Ted Tally'],['Thriller'],['USA'],,272742922,19000000,The Silence of the Lambs,
"['Walt Disney Pictures', 'Walt Disney Feature Animation']",Król Lew,1994,89,"['Rob Minkoff', 'Roger Allers']","['Jonathan Roberts', 'Linda Woolverton']","['Animation', 'Family']",['USA'],['Animacje Disneya'],1063611805,45000000,The Lion King,Forum Film Poland
['Universal Pictures'],Człowiek z blizną,1983,170,['Brian De Palma'],"['Ben Hecht', 'Howard Hawks']","['Drama', 'Crime']",['USA'],,65884703,25000000,Scarface,
"['Double Nickel Entertainment', 'Gerber Pictures', 'Malpaso Productions']",Gran Torino,2008,116,['Clint Eastwood'],['Nick Schenk'],['Drama'],"['USA', 'Germany']",,269958228,33000000,Gran Torino,Warner Bros. Entertainment Polska Sp. z o. o.
"['Walt Disney Pictures', 'Pixar Animation Studios']",Coco,2017,105,"['Lee Unkrich', 'Adrian Molina']","['Adrian Molina', 'Matthew Aldrich']","['Animation', 'Family', 'Adventure']",['USA'],['Pixar'],807817888,175000000,Coco,Disney
"['Paramount Pictures', 'Appian Way', 'Phoenix Pictures']",Wyspa tajemnic,2010,138,['Martin Scorsese'],['Laeta Kalogridis'],"['Drama', 'Thriller']",['USA'],,294805697,80000000,Shutter Island,United International Pictures Sp z o.o.
"['New Line Cinema', 'Savoy Pictures', 'Turman-Morrissey Company, The']",Więzień nienawiści,1998,119,['Tony Kaye'],['David McKenna'],['Drama'],['USA'],,23875127,20000000,American History X,
"['Gaumont', 'Les Films du Dauphin']",Leon zawodowiec,1994,110,['Luc Besson'],['Luc Besson'],"['Drama', 'Crime']","['France', 'USA']",,19569225,16000000,Léon,Vision Film Distribution
"['Dreamworks', 'Participant Media', 'Wessler Entertainment']",Green Book,2018,130,['Peter Farrelly'],"['Brian Hayes Currie', 'Peter Farrelly']","['Drama', 'Comedy']",['USA'],,321752656,23000000,Green Book,M2 Films
"['DreamWorks SKG', 'Universal Pictures', 'C & L']",Gladiator,2000,155,['Ridley Scott'],"['David Franzoni', 'John Logan']",['Drama'],"['USA', 'Great Britain', 'Malta', 'Morocco']",,465380802,103000000,Gladiator,Universal Pictures
"['DreamWorks SKG', 'Paramount Pictures', 'Amblin Entertainment']",Szeregowiec Ryan,1998,170,['Steven Spielberg'],['Robert Rodat'],"['Drama', 'War']",['USA'],,482349603,70000000,Saving Private Ryan,ITI Home Video
"['B.H. Finance C.V.', 'Icon Entertainment International', 'Ladd Company, The']",Braveheart - Waleczne Serce,1995,177,['Mel Gibson'],['Randall Wallace'],['Drama'],['USA'],,213216216,72000000,Braveheart,Syrena EG /Art House
"['Miramax Films', 'BBC Films', 'Heyday Films']",Chłopiec w pasiastej piżamie,2008,93,['Mark Herman'],['Mark Herman'],"['Drama', 'War']","['USA', 'Great Britain']",,40416563,12500000,The Boy in the Striped Pyjamas,
"['Bold Films', 'Blumhouse Productions', 'Right of Way Films']",Whiplash,2014,105,['Damien Chazelle'],['Damien Chazelle'],"['Drama', 'Musical']",['USA'],,49396747,3300000,Whiplash,United International Pictures Sp z o.o.
"['Be Gentlemen Limited Partnership', 'Lawrence Bender Productions', 'Miramax Films']",Buntownik z wyboru,1997,126,['Gus Van Sant'],"['Ben Affleck', 'Matt Damon']",['Drama'],['USA'],,225933435,10000000,Good Will Hunting,Imperial
"['Cross Creek Pictures', 'Summit Entertainment', 'Argent Pictures']",Przełęcz ocalonych,2016,139,['Mel Gibson'],"['Robert Schenkkan', 'Andrew Knight']","['Biography', 'Drama', 'War']","['USA', 'Australia']",,180563636,40000000,Hacksaw Ridge,Monolith Films
['Zoetrope Studios'],Czas Apokalipsy,1979,147,['Francis Ford Coppola'],"['Francis Ford Coppola', 'Michael Herr']","['Drama', 'War']",['USA'],,104729466,31500000,Apocalypse Now,Kino Świat
"['Universal Pictures', 'City Light Films']",Zapach kobiety,1992,157,['Martin Brest'],['Bo Goldman'],['Drama'],['USA'],,134095253,31000000,Scent of a Woman,
"['Touchstone Pictures', 'Warner Bros.', 'Newmarket Productions']",Prestiż,2006,130,['Christopher Nolan'],"['Christopher Nolan', 'Jonathan Nolan']","['Drama', 'Thriller']","['USA', 'Great Britain']",,109676311,40000000,The Prestige,Warner Bros.
['Lucasfilm'],Gwiezdne wojny: Część V - Imperium kontratakuje,1980,124,['Irvin Kershner'],"['Lawrence Kasdan', 'Leigh Brackett']","['Adventure', 'Sci-fi']",['USA'],['Gwiezdne wojny'],538375067,18000000,Star Wars: Episode V - The Empire Strikes Back,Syrena EG
['Marvel Studios'],Avengers: Wojna bez granic,2018,149,"['Anthony Russo', 'Joe Russo']","['Christopher Markus', 'Stephen McFeely']","['Action', 'Sci-fi']",['USA'],['Marvel'],2048359754,,Avengers: Infinity War,Disney
"['Arturo González Producciones Cinematográficas, S.A', 'Constantin Film Produktion', 'Produzioni Europee Associati']","Dobry, zły i brzydki",1966,179,['Sergio Leone'],"['Furio Scarpelli', 'Luciano Vincenzoni']",['Western'],"['Italy', 'Spain', 'Germany']",,25253887,1200000,"Il buono, il brutto, il cattivo.",
['Lucasfilm'],Gwiezdne wojny: Część VI - Powrót Jedi,1983,134,['Richard Marquand'],"['George Lucas', 'Lawrence Kasdan']","['Adventure', 'Sci-fi']",['USA'],['Gwiezdne wojny'],475106177,32500000,Star Wars: Episode VI - Return of the Jedi,
